2D Agreement Proportion Analysis Log
Started at: 2025-10-18 23:18:57
Log file: sensitivity_results/tau10_tau01_agreement_log_20251018_231857.txt
======================================================================

Running 2D sensitivity analysis...
  tau10 range: [-1.00, 1.00] with 20 steps
  tau01 range: [-1.00, 1.00] with 20 steps
  Trust levels: 100 points in [0, 1]
  Fixed parameters: β=0.9, α=0.02, γ=0.9
  τ={11:1.0, 00:-1.0}
  p={11:0.2, 10:0.4, 01:0.2, 00:0.2}
  Total simulations: 400

  Processing (84/400): τ¹⁰=-0.684, τ⁰¹=-0.579...
  Processing (85/400): τ¹⁰=-0.579, τ⁰¹=-0.579...
  Processing (86/400): τ¹⁰=-0.474, τ⁰¹=-0.579...
  Processing (87/400): τ¹⁰=-0.368, τ⁰¹=-0.579...
  Processing (88/400): τ¹⁰=-0.263, τ⁰¹=-0.579...
  Processing (89/400): τ¹⁰=-0.158, τ⁰¹=-0.579...
  Processing (90/400): τ¹⁰=-0.053, τ⁰¹=-0.579...
  Processing (91/400): τ¹⁰=0.053, τ⁰¹=-0.579...
  Processing (92/400): τ¹⁰=0.158, τ⁰¹=-0.579...
  Processing (93/400): τ¹⁰=0.263, τ⁰¹=-0.579...
  Processing (94/400): τ¹⁰=0.368, τ⁰¹=-0.579...
  Processing (95/400): τ¹⁰=0.474, τ⁰¹=-0.579...
  Processing (96/400): τ¹⁰=0.579, τ⁰¹=-0.579...
  Processing (97/400): τ¹⁰=0.684, τ⁰¹=-0.579...
  Processing (98/400): τ¹⁰=0.789, τ⁰¹=-0.579...
  Processing (99/400): τ¹⁰=0.895, τ⁰¹=-0.579...
  Processing (100/400): τ¹⁰=1.000, τ⁰¹=-0.579...
  Processing (101/400): τ¹⁰=-1.000, τ⁰¹=-0.474...
  Processing (102/400): τ¹⁰=-0.895, τ⁰¹=-0.474...
  Processing (103/400): τ¹⁰=-0.789, τ⁰¹=-0.474...
  Processing (104/400): τ¹⁰=-0.684, τ⁰¹=-0.474...
  Processing (105/400): τ¹⁰=-0.579, τ⁰¹=-0.474...
  Processing (106/400): τ¹⁰=-0.474, τ⁰¹=-0.474...
  Processing (107/400): τ¹⁰=-0.368, τ⁰¹=-0.474...
  Processing (108/400): τ¹⁰=-0.263, τ⁰¹=-0.474...
  Processing (109/400): τ¹⁰=-0.158, τ⁰¹=-0.474...
  Processing (110/400): τ¹⁰=-0.053, τ⁰¹=-0.474...
  Processing (111/400): τ¹⁰=0.053, τ⁰¹=-0.474...
  Processing (112/400): τ¹⁰=0.158, τ⁰¹=-0.474...
  Processing (113/400): τ¹⁰=0.263, τ⁰¹=-0.474...
  Processing (114/400): τ¹⁰=0.368, τ⁰¹=-0.474...
  Processing (115/400): τ¹⁰=0.474, τ⁰¹=-0.474...
  Processing (116/400): τ¹⁰=0.579, τ⁰¹=-0.474...
  Processing (117/400): τ¹⁰=0.684, τ⁰¹=-0.474...
  Processing (118/400): τ¹⁰=0.789, τ⁰¹=-0.474...
